click_id,impression_id,user_id,item_id,click_timestamp,dwell_seconds,scrolled
clk_000000000,imp_0000000025,u_0001206,i_000494,2025-09-01T06:01:33,23.48,0
clk_000000001,imp_0000000097,u_0001325,i_000426,2025-09-01T19:10:13,99.66,0
clk_000000002,imp_0000000099,u_0001325,i_000479,2025-09-01T19:15:40,5.54,1
clk_000000003,imp_0000000127,u_0001490,i_000398,2025-09-01T10:38:20,23.33,1
clk_000000004,imp_0000000133,u_0001917,i_000153,2025-09-01T17:00:51,45.7,0
clk_000000005,imp_0000000160,u_0001828,i_000438,2025-09-01T11:02:18,19.95,0
clk_000000006,imp_0000000249,u_0001079,i_000087,2025-09-01T11:02:53,8.3,0
clk_000000007,imp_0000000254,u_0001079,i_000207,2025-09-01T11:13:18,1.86,1
clk_000000008,imp_0000000295,u_0000038,i_000484,2025-09-01T20:02:11,17.87,1
clk_000000009,imp_0000000336,u_0000005,i_000351,2025-09-01T07:07:04,90.13,1
clk_000000010,imp_0000000380,u_0001068,i_000320,2025-09-01T16:12:14,163.49,0
clk_000000011,imp_0000000413,u_0000613,i_000059,2025-09-01T13:07:51,1.52,0
clk_000000012,imp_0000000418,u_0000613,i_000115,2025-09-01T13:17:09,27.68,1
clk_000000013,imp_0000000447,u_0001272,i_000034,2025-09-01T17:02:58,1.03,1
clk_000000014,imp_0000000533,u_0001112,i_000378,2025-09-01T14:19:17,32.55,0
clk_000000015,imp_0000000545,u_0000202,i_000368,2025-09-01T15:14:21,97.86,0
clk_000000016,imp_0000000587,u_0000898,i_000483,2025-09-01T09:05:39,1.99,1
clk_000000017,imp_0000000633,u_0000457,i_000108,2025-09-01T17:04:13,4.85,0
clk_000000018,imp_0000000637,u_0001143,i_000125,2025-09-01T18:02:01,95.9,1
clk_000000019,imp_0000000647,u_0001143,i_000273,2025-09-01T18:21:09,31.36,0
clk_000000020,imp_0000000670,u_0001358,i_000318,2025-09-01T08:10:35,16.58,1
clk_000000021,imp_0000000714,u_0000080,i_000022,2025-09-01T14:04:13,44.23,0
clk_000000022,imp_0000000726,u_0000080,i_000105,2025-09-01T14:29:10,136.72,0
clk_000000023,imp_0000000752,u_0000620,i_000126,2025-09-01T12:02:30,15.72,0
clk_000000024,imp_0000000841,u_0001502,i_000007,2025-09-01T06:02:23,1.41,0
clk_000000025,imp_0000000876,u_0001846,i_000116,2025-09-01T05:07:18,5.42,0
clk_000000026,imp_0000000899,u_0000281,i_000371,2025-09-01T12:03:05,2.59,0
clk_000000027,imp_0000000912,u_0000629,i_000096,2025-09-01T19:01:51,36.83,0
clk_000000028,imp_0000000987,u_0000054,i_000176,2025-09-01T14:06:48,1.47,0
clk_000000029,imp_0000001047,u_0000226,i_000224,2025-09-01T07:00:36,33.16,1
clk_000000030,imp_0000001131,u_0001304,i_000281,2025-09-01T14:20:50,23.5,0
clk_000000031,imp_0000001135,u_0001882,i_000391,2025-09-01T15:01:21,13.89,0
clk_000000032,imp_0000001211,u_0001126,i_000281,2025-09-01T14:00:38,27.97,0
clk_000000033,imp_0000001271,u_0000885,i_000096,2025-09-01T10:00:45,13.39,0
clk_000000034,imp_0000001272,u_0000885,i_000364,2025-09-01T10:02:57,2.38,1
clk_000000035,imp_0000001295,u_0000397,i_000427,2025-09-01T09:02:00,100.68,0
clk_000000036,imp_0000001382,u_0001822,i_000297,2025-09-01T06:02:09,1.41,0
clk_000000037,imp_0000001403,u_0001465,i_000461,2025-09-01T21:00:47,2.61,1
clk_000000038,imp_0000001405,u_0001465,i_000246,2025-09-01T21:04:54,6.98,0
clk_000000039,imp_0000001460,u_0000524,i_000180,2025-09-01T17:18:42,25.59,0
clk_000000040,imp_0000001490,u_0000298,i_000370,2025-09-01T16:08:54,19.33,1
clk_000000041,imp_0000001522,u_0001775,i_000444,2025-09-01T09:05:53,110.0,1
clk_000000042,imp_0000001532,u_0000224,i_000461,2025-09-01T20:04:51,4.36,0
clk_000000043,imp_0000001544,u_0000152,i_000188,2025-09-01T13:04:32,1.36,0
clk_000000044,imp_0000001660,u_0000048,i_000068,2025-09-01T06:02:35,14.65,0
clk_000000045,imp_0000001767,u_0000179,i_000371,2025-09-01T11:24:30,22.31,0
clk_000000046,imp_0000001832,u_0000058,i_000356,2025-09-01T23:18:32,46.39,0
clk_000000047,imp_0000001850,u_0001729,i_000479,2025-09-01T11:26:29,13.65,1
clk_000000048,imp_0000001854,u_0000316,i_000362,2025-09-01T23:03:37,24.31,0
clk_000000049,imp_0000001861,u_0000316,i_000376,2025-09-01T23:16:43,9.87,1
clk_000000050,imp_0000001973,u_0000222,i_000087,2025-09-01T12:04:09,78.84,1
clk_000000051,imp_0000001997,u_0000175,i_000227,2025-09-01T18:07:53,39.66,0
clk_000000052,imp_0000002002,u_0000785,i_000245,2025-09-01T18:07:07,15.38,0
clk_000000053,imp_0000002011,u_0000673,i_000487,2025-09-01T19:09:45,42.97,0
clk_000000054,imp_0000002169,u_0000564,i_000204,2025-09-01T08:03:47,2.82,0
clk_000000055,imp_0000002182,u_0000716,i_000220,2025-09-01T20:09:10,16.94,0
clk_000000056,imp_0000002194,u_0000716,i_000353,2025-09-01T20:30:08,18.37,0
clk_000000057,imp_0000002303,u_0001307,i_000057,2025-09-01T21:03:53,1.52,0
clk_000000058,imp_0000002423,u_0001332,i_000087,2025-09-01T17:26:12,63.69,0
clk_000000059,imp_0000002434,u_0001332,i_000147,2025-09-01T17:48:54,9.02,0
clk_000000060,imp_0000002545,u_0001010,i_000371,2025-09-01T18:10:20,7.75,0
clk_000000061,imp_0000002571,u_0001581,i_000480,2025-09-01T06:04:14,23.22,1
clk_000000062,imp_0000002602,u_0000388,i_000000,2025-09-01T23:01:27,105.55,0
clk_000000063,imp_0000002630,u_0000044,i_000024,2025-09-01T17:34:37,25.23,0
clk_000000064,imp_0000002632,u_0000404,i_000016,2025-09-01T08:01:57,7.95,0
clk_000000065,imp_0000002682,u_0000848,i_000273,2025-09-01T13:05:24,9.45,0
clk_000000066,imp_0000002704,u_0000865,i_000482,2025-09-01T09:05:40,0.58,1
clk_000000067,imp_0000002741,u_0001827,i_000135,2025-09-01T09:07:16,24.91,0
clk_000000068,imp_0000002766,u_0001757,i_000386,2025-09-01T19:06:09,13.1,0
clk_000000069,imp_0000002792,u_0001765,i_000019,2025-09-01T16:04:53,260.54,1
clk_000000070,imp_0000002853,u_0000045,i_000115,2025-09-01T21:00:45,94.32,1
clk_000000071,imp_0000002856,u_0000045,i_000358,2025-09-01T21:09:10,38.93,0
clk_000000072,imp_0000002891,u_0000238,i_000193,2025-09-01T07:21:36,15.4,0
clk_000000073,imp_0000002893,u_0000238,i_000373,2025-09-01T07:26:00,31.47,0
clk_000000074,imp_0000002909,u_0000013,i_000035,2025-09-01T17:04:29,2.48,0
clk_000000075,imp_0000002964,u_0001965,i_000362,2025-09-01T15:06:14,0.64,0
clk_000000076,imp_0000003013,u_0001038,i_000461,2025-09-01T16:03:23,22.35,0
clk_000000077,imp_0000003154,u_0001237,i_000041,2025-09-01T08:18:43,60.38,0
clk_000000078,imp_0000003167,u_0000103,i_000042,2025-09-01T10:02:48,2.48,0
clk_000000079,imp_0000003177,u_0001193,i_000222,2025-09-01T17:03:34,22.97,0
clk_000000080,imp_0000003182,u_0001121,i_000089,2025-09-01T01:02:12,28.07,1
clk_000000081,imp_0000003183,u_0001121,i_000016,2025-09-01T01:04:59,2.78,1
clk_000000082,imp_0000003219,u_0000652,i_000440,2025-09-01T11:17:23,16.64,0
clk_000000083,imp_0000003264,u_0000473,i_000492,2025-09-01T10:01:35,27.56,0
clk_000000084,imp_0000003276,u_0000473,i_000412,2025-09-01T10:24:27,35.38,0
clk_000000085,imp_0000003300,u_0001275,i_000266,2025-09-01T06:08:59,35.88,0
clk_000000086,imp_0000003301,u_0001275,i_000462,2025-09-01T06:12:13,25.17,1
clk_000000087,imp_0000003315,u_0000594,i_000231,2025-09-01T10:06:28,58.83,0
clk_000000088,imp_0000003346,u_0000532,i_000246,2025-09-01T16:00:08,95.25,1
clk_000000089,imp_0000003351,u_0000532,i_000462,2025-09-01T16:12:41,6.89,0
clk_000000090,imp_0000003395,u_0001834,i_000461,2025-09-01T20:04:28,45.34,0
clk_000000091,imp_0000003486,u_0000748,i_000359,2025-09-01T14:03:21,1.87,1
clk_000000092,imp_0000003493,u_0001362,i_000274,2025-09-01T21:00:57,43.14,0
clk_000000093,imp_0000003506,u_0001685,i_000353,2025-09-01T20:02:34,1.7,0
clk_000000094,imp_0000003522,u_0000661,i_000112,2025-09-01T11:09:11,5.71,1
clk_000000095,imp_0000003528,u_0000679,i_000217,2025-09-01T06:03:02,13.01,1
clk_000000096,imp_0000003624,u_0001867,i_000105,2025-09-01T14:04:28,24.21,1
clk_000000097,imp_0000003695,u_0000562,i_000393,2025-09-01T12:47:28,26.48,0
clk_000000098,imp_0000003762,u_0000232,i_000236,2025-09-01T21:14:07,76.05,0
clk_000000099,imp_0000003810,u_0001930,i_000012,2025-09-01T16:03:12,2.7,0
